rank_among_TFs	EGI	coex_score	rank_genomewide	percentile
270	8072765	0.5814	4316	0.8004254138536946
271	8076012	0.5814	4318	0.8003329325811523
272	8071917	0.5814	4338	0.7994081198557292
273	8057656	0.5814	4358	0.7984833071303061
274	8072106	0.5814	4377	0.7976047350411541
275	8067520	0.5814	4378	0.797558494404883
276	8073887	0.5652	4387	0.7971423286784426
277	8055099	0.5652	4392	0.7969111254970869
278	8074545	0.5652	4400	0.7965412004069176
279	8061852	0.5652	4431	0.7951077406825118
280	8078983	0.5652	4445	0.7944603717747156
281	110433186	0.5652	4471	0.7932581152316656
282	8062354	0.549	4532	0.7904374364191251
283	8055799	0.549	4536	0.7902524738740405
284	8060313	0.549	4543	0.7899287894201424
285	8064030	0.549	4544	0.7898825487838712
286	8077047	0.549	4552	0.789512623693702
287	8066652	0.549	4588	0.7878479607879405
288	8076126	0.549	4593	0.7876167576065847
289	8078068	0.549	4599	0.7873393137889577
290	8086215	0.549	4612	0.7867381855174327
291	8085554	0.5327	4646	0.7851660038842134
292	110433470	0.5327	4651	0.7849348007028577
293	8070848	0.5327	4670	0.7840562286137057
294	8079658	0.5327	4676	0.7837787847960788
295	8083047	0.5327	4702	0.7825765282530288
296	8060559	0.5327	4747	0.7804956996208268
297	8085931	0.5165	4785	0.7787385554425229
298	8059423	0.5165	4789	0.7785535928974383
299	8069036	0.5165	4793	0.7783686303523536
300	8081328	0.5165	4815	0.7773513363543882
301	8085828	0.5165	4830	0.776657726810321
302	8073875	0.5165	4842	0.7761028391750671
303	8056229	0.5165	4850	0.7757329140848979
304	8056139	0.5003	4953	0.7709701285489688
305	8081935	0.5003	4962	0.7705539628225284
306	8062379	0.5003	4968	0.7702765190049015
307	8075562	0.5003	5013	0.7681956903726995
308	8084092	0.5003	5021	0.7678257652825303
309	8081987	0.4841	5048	0.766577268103209
310	8068182	0.4841	5059	0.7660686211042264
311	8068198	0.4841	5066	0.7657449366503283
312	8065753	0.4841	5077	0.7652362896513456
313	8072072	0.4841	5084	0.7649126051974475
314	8075852	0.4841	5099	0.7642189956533803
315	8083365	0.4841	5100	0.764172755017109
316	8079394	0.4841	5123	0.7631092203828724
317	8068115	0.4841	5124	0.7630629797466013
318	8074989	0.4841	5133	0.7626468140201609
319	8085503	0.4841	5157	0.7615370387496532
320	8054891	0.4841	5158	0.761490798113382
321	8066201	0.4679	5202	0.7594562101174512
322	8063839	0.4679	5204	0.7593637288449089
323	8058364	0.4679	5219	0.7586701193008416
324	8082148	0.4679	5230	0.7581614723018588
325	8064492	0.4679	5239	0.7577453065754185
326	8059507	0.4679	5256	0.7569592157588089
327	8057714	0.4679	5275	0.7560806436696569
328	8056168	0.4679	5280	0.7558494404883012
329	110431636	0.4679	5292	0.7552945528530473
330	8074282	0.4679	5295	0.7551558309442338
331	8058230	0.4516	5297	0.7550633496716914
332	8054291	0.4516	5315	0.7542310182188107
333	8084427	0.4516	5334	0.7533524461296588
334	8075389	0.4516	5341	0.7530287616757607
335	8076203	0.4516	5342	0.7529825210394895
336	8073158	0.4516	5370	0.7516877832238972
337	8085250	0.4516	5401	0.7502543234994914
338	8061915	0.4516	5431	0.7488671044113566
339	8077633	0.4354	5456	0.7477110885045779
340	8062217	0.4354	5475	0.7468325164154259
341	110433867	0.4354	5542	0.7437343937852585
342	8066851	0.4354	5569	0.7424858966059373
343	8071112	0.4192	5577	0.7421159715157681
344	8085799	0.4192	5626	0.7398501803384814
345	8056535	0.4192	5631	0.7396189771571257
346	8069641	0.4192	5696	0.7366133357995006
347	8081028	0.4192	5698	0.7365208545269584
348	8059180	0.4192	5699	0.7364746138906871
349	8063235	0.4192	5703	0.7362896513456025
350	8061169	0.403	5713	0.735827244982891
351	8078954	0.403	5734	0.7348561916211966
352	8081902	0.403	5752	0.7340238601683159
353	8069747	0.403	5777	0.7328678442615371
354	8062554	0.403	5779	0.7327753629889947
355	8077488	0.403	5783	0.7325904004439101
356	8080837	0.403	5787	0.7324054378988255
357	110430121	0.403	5799	0.7318505502635717
358	8085164	0.403	5801	0.7317580689910292
359	110431059	0.403	5809	0.73138814390086
360	8076148	0.403	5827	0.7305558124479793
361	8070049	0.403	5841	0.7299084435401831
362	8065005	0.403	5844	0.7297697216313697
363	8085988	0.3868	5848	0.729584759086285
364	8057253	0.3868	5882	0.7280125774530657
365	8085254	0.3868	5883	0.7279663368167946
366	8076029	0.3868	5885	0.7278738555442523
