gene_id,n_supporting_contrasts,mean_methyl_diff
LOC8057045,2,-0.239636542826655
LOC8084356,1,-0.239626338777312
LOC8058080,1,-0.239447271928718
LOC8062536,1,-0.239379209299191
LOC8082918,1,-0.239352314731781
LOC110431058,1,-0.2391714743667
LOC8082709,1,0.239127524127565
LOC8069376,1,-0.238679692470619
LOC8072040,1,-0.238677127932854
LOC8062114,1,-0.238032449019782
LOC8075699,2,-0.23765877696747
LOC8058643,2,-0.2374362122503595
LOC8078810,1,-0.237265776582256
LOC8083374,1,-0.236950673835461
LOC8086408,1,-0.236858521246798
LOC8059158,1,-0.236751323609513
LOC8082674,1,-0.236722438903575
LOC110433901,1,-0.236458517654641
LOC8071795,2,-0.23639794394019403
LOC8080156,1,-0.23614037852529
LOC110434317,1,-0.236013288172797
LOC110437303,1,-0.23592855595576
LOC8068086,1,-0.235918787421162
TRNAR-CCG,1,-0.235845468826879
LOC8071595,1,0.235705266302084
LOC8075664,1,-0.235177965502174
LOC110435393,1,0.234833971107626
LOC8061897,1,-0.234585724925571
LOC110432410,2,-0.234559120415132
LOC8083761,1,-0.234419519979931
LOC8076661,1,0.2342311456432
LOC8081296,1,-0.233907817517411
LOC110429512,1,-0.233565311094984
LOC8080995,1,-0.233286169263222
LOC110431005,1,-0.233207208034083
LOC110434437,1,0.233088299645476
LOC110435806,1,-0.232981417894172
LOC8056328,1,-0.232924697994418
LOC8058298,1,-0.232708678387811
LOC110431245,1,-0.232679712767806
LOC8080158,2,0.2326769700854815
LOC8065404,2,-0.23266879416494599
LOC110430879,1,-0.232643758206751
LOC8072025,1,-0.232326521420506
LOC110436761,1,-0.231916892914802
LOC110430628,1,0.231818905784186
LOC8055563,1,0.231768596855961
LOC8073712,1,-0.231720048632199
LOC8057235,1,-0.231594946372575
LOC8080475,1,-0.231270999639669
LOC8082986,1,-0.231111754003031
LOC8060540,2,-0.23098862216982202
LOC8079953,1,-0.230951670371063
LOC110430080,1,0.230832345842361
LOC8085109,2,-0.230745133983476
LOC110436041,2,-0.22997419521010198
LOC110431845,1,0.229863265053762
LOC8071374,1,0.229852323973238
LOC8057203,1,-0.229849276638231
LOC8060306,1,0.229685936491623
LOC8065641,1,-0.229583417166178
LOC8054132,2,-0.22941377882181901
LOC110430585,2,-0.22941377882181901
LOC8075963,1,-0.229246022835376
LOC8071238,1,-0.229042986437444
LOC110435330,1,0.228962208832467
LOC8063266,1,0.228928611715949
LOC110430106,1,0.228894746747981
LOC110436435,1,-0.22873788106565
LOC8074865,1,-0.228427206980915
LOC110433117,1,-0.228376959842428
LOC8081170,1,-0.228197641720007
LOC110432550,1,0.228125874273483
LOC110437023,1,-0.22809899122828
LOC8056654,1,-0.228087398403689
LOC110434853,1,-0.228016540683333
LOC8064376,1,-0.228014350521537
LOC110429911,1,-0.227977024198877
LOC8055328,1,-0.227660779559443
LOC8075523,1,-0.227535205259985
LOC8083227,1,-0.227374508388342
LOC8079099,1,-0.227065209393031
LOC8056598,2,-0.226905678702152
LOC8059846,1,-0.226786119893333
LOC8065490,1,-0.226509653381689
LOC8081430,1,-0.226471029257033
LOC110432737,2,-0.226226125035587
LOC8055748,1,-0.226186509369332
LOC8060625,1,0.225985144797378
LOC8060626,1,0.225985144797378
LOC8071201,1,-0.225533625506114
LOC110435918,1,-0.225342750195008
LOC8057990,1,-0.225162912163446
LOC8075262,1,-0.225012680605326
LOC8063780,1,-0.22498307595016
LOC8064112,1,-0.224922789606523
LOC110434140,1,-0.2246834411334
LOC110435857,1,-0.224631108207756
LOC8070488,1,-0.224616868354833
LOC110433517,1,0.224481525415826
LOC8066195,2,0.22440155242395
LOC8075362,1,0.224238157280443
LOC8071836,1,-0.224083740398396
LOC8077884,1,-0.2238765214214
LOC8079626,1,-0.223677052217954
LOC110431003,1,0.223637192752846
LOC110436604,1,-0.223615757717228
LOC8074437,1,-0.223522010204604
LOC110431442,1,-0.223518568767628
LOC8083478,1,-0.223518568767628
LOC8072801,1,-0.2234412830388
LOC110435438,1,-0.223363926452408
LOC8078338,1,-0.222956700802083
LOC110432861,1,0.222727155302679
LOC110431323,1,-0.222646452943322
LOC8070082,1,-0.22257826643505
LOC8074905,1,-0.22250387817656
LOC110429692,2,0.22243221636266047
LOC110431234,1,-0.222336605657065
LOC8065615,1,-0.222157542778696
LOC8074212,1,0.222144718910365
LOC110429856,1,-0.222089874849788
LOC8062030,1,0.222063340754022
LOC8066139,1,-0.221981878979054
LOC110431146,2,-0.2218510927663625
LOC110436423,1,-0.221767640171988
LOC8060103,1,-0.22176511138093
LOC8055600,1,-0.221756779225918
LOC8059193,1,-0.221642813798723
LOC8080195,1,-0.221586568686571
LOC8084524,1,-0.22152686922218
LOC110431809,1,-0.221466177274653
LOC8082774,1,-0.221464756841667
LOC8056582,1,0.221285769987526
LOC8055615,1,-0.221215263029838
LOC8085881,1,-0.221077104542559
LOC8073688,2,-0.22084834980518603
LOC8054308,1,0.220809780510674
LOC110431811,1,-0.220603140708001
LOC8081719,1,-0.22057224349188
LOC8081156,1,-0.220496296203731
LOC8071138,1,0.220343663982671
LOC8056266,1,0.220333697898622
LOC8081083,1,-0.220216588517384
LOC8078684,1,-0.220132935040028
LOC8082648,1,-0.220003502182938
LOC8062093,1,-0.219995779275523
LOC8073829,1,-0.219963869859459
LOC8068917,1,0.219826924982037
LOC8067433,1,-0.219815482319828
LOC8069449,1,-0.219799943260154
LOC8081117,1,0.219777688459988
LOC8078664,1,0.219495620994223
LOC110431187,1,-0.219434556861371
LOC8072357,1,-0.219153670279771
LOC110435713,1,-0.219043713666397
LOC110437637,1,-0.219029096055033
LOC8072167,1,-0.218986882976794
LOC8062451,1,-0.218792053815003
LOC110437528,1,-0.21878432921657
LOC110431228,1,-0.218750678540861
LOC8061616,1,-0.218750678540861
LOC8069982,1,-0.218628481012008
LOC8056062,1,0.218613216770979
LOC8077681,2,-0.218609967408591
LOC8065124,1,-0.218600373765809
LOC8067234,1,-0.218598095913021
LOC8080009,1,-0.218527566445823
LOC8068166,1,0.218285556430695
LOC8065491,1,-0.218009136869419
LOC8073313,1,-0.217903878256688
LOC8056866,1,-0.217804934168879
LOC8057797,1,0.217482938726776
LOC8075939,1,-0.217430175364392
LOC8083035,2,-0.21721629560065148
LOC8056504,1,0.217215044265196
LOC8072437,1,0.217215044265196
LOC8068991,1,-0.217132049556145
LOC8078772,1,-0.217094560484224
LOC8084188,1,-0.217074804200587
LOC8074895,1,-0.216996049345218
LOC110429791,1,-0.216996049345218
LOC8060620,1,0.216986147895423
LOC8073783,1,0.216911235170419
LOC8058852,1,-0.216851072456309
LOC8071791,1,0.216847641674026
LOC8075645,1,0.216675041148477
LOC8083480,1,-0.216646282747438
LOC8084130,1,-0.216482231260552
LOC8058254,1,-0.216446773085063
LOC8059892,1,0.216411518335262
LOC8071983,1,-0.216344931614353
LOC8084730,1,-0.216262404589879
LOC8078572,2,-0.2162208180664405
LOC8070215,1,-0.216181159287315
LOC8067439,2,0.216052743443582
LOC110434303,1,0.216032026662412
LOC8073205,1,0.216032026662412
LOC8070428,1,0.215828830753919
LOC8064725,1,-0.215826535688727
LOC8054573,1,0.215776770748737
LOC8155557,2,-0.2156403023134275
LOC8081292,1,-0.215402190342488
LOC8081341,2,-0.215298566470992
LOC8072458,1,-0.215285693643142
LOC8062073,1,-0.215165573292931
LOC110436040,1,0.215157497172771
LOC110434198,1,-0.214930706973645
LOC8076455,1,-0.214876252650968
LOC8072596,1,-0.214691829834322
LOC8067116,1,-0.214456691330319
LOC8078870,1,-0.214343268049
LOC8073714,1,0.214240307056573
LOC110433844,2,-0.2142119325508815
LOC8084098,1,0.21410921855396
LOC8078805,1,-0.213924559065063
LOC8073518,1,0.21390972751162
LOC110436611,1,-0.213766709053786
LOC8077005,1,-0.213479978126747
LOC8065924,1,-0.213443858462394
LOC8060534,1,0.213401404882833
LOC8065472,1,-0.213380098579928
LOC110430723,1,-0.213355137592419
LOC8078208,1,-0.213274872532184
LOC8059476,1,-0.213250715697404
LOC110436500,1,0.213164949415855
LOC8083166,1,-0.213116545876999
LOC110430883,1,0.212751303719175
LOC110435793,1,-0.212578655096246
LOC8057802,1,0.212497113306545
LOC8063708,1,0.21247127914624
LOC8076293,1,-0.212384934732543
LOC8073298,2,-0.212252711069347
LOC8069334,1,0.212239474699198
LOC8065035,1,0.212083102796724
LOC8079312,1,0.212083102796724
LOC8061555,1,-0.21193778415172
LOC8072954,1,-0.211891648468266
LOC8062533,1,0.211890718559055
LOC8060878,1,-0.211877539333832
LOC110433786,1,-0.211873822000398
LOC110433833,1,0.211816864660821
LOC8055424,1,-0.211788675466694
LOC8059610,1,-0.211554263374252
LOC8067387,1,-0.21148300026179
LOC8058201,1,-0.211417668958452
LOC110431990,1,-0.211269946167694
LOC8061498,1,-0.211256635799703
LOC110433793,1,-0.21112828318372
LOC8085422,1,-0.21102014722322
