gene_id,n_supporting_contrasts,mean_methyl_diff
LOC110431985,1,-0.242450488784786
LOC110430922,1,-0.242336776152175
LOC110430923,1,-0.242336776152175
LOC110436095,1,-0.24217942186696
LOC110429703,1,-0.242057116399511
LOC8084237,2,-0.241937364524817
LOC8066393,1,-0.241186440745752
LOC8082824,2,-0.24090367276031
LOC110430517,1,-0.240730883655881
LOC8060878,3,-0.24071674343015734
LOC110435060,1,-0.24059297253807
LOC8065404,1,-0.240535608415366
LOC110432707,1,-0.239703114469527
LOC8075615,1,-0.239509605025147
LOC8065435,1,-0.239201178430476
LOC8071795,2,-0.23904109727195
LOC8065947,1,-0.238922602841966
LOC8085241,1,-0.238649564760227
LOC8080009,1,-0.238386077951158
LOC8084356,1,-0.238305647286417
LOC8066704,1,-0.238279027541432
LOC8061426,1,-0.238059541653153
LOC110429848,3,-0.23783762820452867
LOC110429512,1,-0.237672682609984
LOC8065509,1,-0.237554423109719
LOC110429767,1,-0.237527740525386
LOC8062754,1,-0.237323919101169
LOC8057482,1,-0.23669900561666
LOC8084674,1,-0.236520732026273
LOC110436891,1,-0.236274514500829
LOC8078950,1,-0.236253487956143
LOC8078949,1,-0.236253487956143
LOC8062302,1,-0.236232882163375
LOC8069512,2,-0.23618154142402598
LOC8075989,2,-0.23618154142402598
LOC8069931,1,-0.235886207780492
LOC110436221,1,-0.235736937948259
LOC8061076,1,-0.235495670868132
LOC8058239,1,-0.235423258469143
LOC110431005,1,-0.234792569866292
LOC8075963,1,-0.234792358114225
LOC110436450,1,-0.234616493843334
LOC8070976,1,-0.234616493843334
TRNAG-UCC,1,-0.234616493843334
LOC110434068,1,-0.234376284610754
LOC8081292,1,-0.234318036949863
LOC8065482,1,-0.234299656791178
LOC8058533,1,-0.23418642520374
LOC8062350,1,-0.23415952264938
LOC8072222,1,-0.234107318348095
LOC8073003,1,-0.234066942291097
LOC8068983,1,-0.233797881518352
LOC8062257,2,-0.2326545695541755
LOC8055424,1,-0.232507028168307
LOC110431125,1,-0.232468681221891
LOC8063097,3,-0.23216237547144666
LOC8086408,1,-0.232086683288754
LOC8081083,1,-0.231697504687943
LOC110430936,1,-0.231475129502466
LOC8071821,1,-0.231119387485821
LOC8064390,1,-0.231119387485821
LOC8072458,1,-0.230844408141779
LOC8056039,1,-0.230729316973215
LOC8069829,1,-0.23046423445255
LOC8071074,1,-0.230376207684902
LOC8060456,1,-0.230376207684902
LOC110437023,1,-0.230344754811092
LOC8059293,1,-0.23002301534556
LOC110435857,1,-0.229822330391762
LOC8064725,1,-0.229680977089989
LOC8085184,1,-0.22916884115749
LOC8062955,1,-0.22895671944168
LOC110433672,1,-0.228788622221283
LOC8061635,1,-0.228672671482192
LOC8075691,1,-0.228566968281498
LOC110434491,1,-0.228566968281498
LOC8070871,1,-0.22812508633839
LOC8080360,1,-0.227782819378714
LOC110430342,1,-0.227779063863129
LOC8079605,1,-0.227760219690994
LOC8072357,1,-0.227458647139008
LOC8060143,1,-0.227410422253611
LOC8067792,2,-0.227167708286938
LOC110434021,1,-0.226928243957216
LOC8054132,2,-0.226730487565017
LOC110430585,2,-0.226730487565017
LOC8086280,1,-0.226659552561217
LOC110431421,1,-0.226412878453071
LOC8065393,1,-0.226368204960913
LOC8065459,1,-0.226011179843718
LOC8081396,1,-0.226008418079532
LOC110431617,1,-0.22584771885805
LOC8055501,1,-0.225734529793374
LOC8083035,2,-0.2253979268900865
LOC110431001,1,-0.22514158195785
LOC8070856,1,-0.225106665062613
LOC8068991,1,-0.224897416996276
LOC8061689,1,-0.224843837521397
LOC8071201,1,-0.22441099289043
LOC8063514,1,-0.224051491418074
LOC110435383,1,-0.223833446205969
LOC8082774,1,-0.223645267582529
LOC8081782,1,-0.223369734774404
LOC8085967,1,-0.223297329981069
LOC110436611,1,-0.223291903076015
LOC8080017,1,-0.223190727330957
LOC8068659,1,-0.223023329634637
LOC8074674,1,-0.223019916955002
LOC8054471,1,-0.222965851831912
LOC110435989,1,-0.222911739527207
LOC8062114,1,-0.222561376928377
LOC110432726,1,-0.222273724113108
LOC8071238,1,-0.22205760424396
LOC8054250,2,-0.2219269680093725
LOC8064754,1,-0.221685318295866
LOC8072529,1,-0.221624338641289
LOC8068803,1,-0.221611639914559
LOC8055328,1,-0.221062038888416
LOC8059007,1,-0.221041740550271
LOC8079583,1,-0.22100889227271
LOC8073323,1,-0.220897670721226
LOC8059898,1,-0.220884986794652
LOC110434853,1,-0.220799530191941
LOC8070368,1,-0.220783772415889
LOC8086020,1,-0.22077357601056
LOC110429668,2,-0.2205236382957525
LOC8057916,1,-0.220396295257802
LOC8057324,1,-0.220396295257802
LOC110430693,1,-0.220230460636884
LOC8076116,1,-0.220192039364172
LOC110435132,1,-0.220192039364172
LOC8055263,1,-0.219999329801405
LOC8079626,1,-0.219981288558726
LOC8066496,1,-0.219594695008753
LOC8073632,1,-0.219510843293342
LOC110430912,1,-0.219455719105715
LOC110429557,1,-0.219440813248578
