NC_012870.2	1
NW_018396800.1	super_1544
NW_018396801.1	super_1546
NW_018396802.1	super_1547
NW_018396803.1	super_1552
NW_018396804.1	super_1555
NW_018396805.1	super_1557
NW_018396806.1	super_1558
NW_018396807.1	super_1559
NW_018396808.1	super_1561
NW_018396809.1	super_1567
NW_018396809.1	super_1633
NW_018396810.1	super_1571
NW_018396811.1	super_1575
NW_018396812.1	super_1584
NW_018396813.1	super_1585
NW_018396814.1	super_1601
NW_018396814.1	super_1602
NW_018396815.1	super_1601
NW_018396815.1	super_1602
NW_018396816.1	super_1604
NW_018396817.1	super_1607
NW_018396817.1	super_1609
NW_018396818.1	super_1607
NW_018396818.1	super_1609
NW_018396819.1	super_1619
NW_018396820.1	super_1620
NW_018396821.1	super_1623
NW_018396822.1	super_1624
NW_018396823.1	super_1629
NW_018396824.1	super_1567
NW_018396824.1	super_1633
NW_018396825.1	super_1636
NW_018396826.1	super_1637
NW_018396827.1	super_1647
NW_018396828.1	super_1650
NW_018396829.1	super_1652
NW_018396830.1	super_1653
NW_018396831.1	super_1659
NW_018396832.1	super_1661
NW_018396833.1	super_1543
NW_018396833.1	super_1666
NW_018396834.1	super_1668
NW_018396835.1	super_1669
NW_018396836.1	super_1673
NW_018396837.1	super_1676
NW_018396838.1	super_1693
NW_018396839.1	super_1703
NW_018396840.1	super_1706
NW_018396840.1	super_2334
NW_018396841.1	super_1713
NW_018396842.1	super_1716
NW_018396842.1	super_1800
NW_018396843.1	super_1717
NW_018396844.1	super_1724
NW_018396845.1	super_1728
NW_018396846.1	super_1733
NW_018396847.1	super_1734
NW_018396848.1	super_1736
NW_018396849.1	super_1740
NW_018396850.1	super_1741
NW_018396851.1	super_1748
NW_018396852.1	super_1750
NW_018396853.1	super_1751
NW_018396854.1	super_1756
NW_018396855.1	super_1758
NW_018396856.1	super_1769
NW_018396857.1	super_1774
NW_018396858.1	super_1779
NW_018396859.1	super_1785
NW_018396860.1	super_1789
NW_018396861.1	super_1791
NW_018396862.1	super_1794
NW_018396863.1	super_1795
NW_018396864.1	super_1716
NW_018396864.1	super_1800
NW_018396865.1	super_1801
NW_018396866.1	super_1804
NW_018396867.1	super_1805
NW_018396868.1	super_1818
NW_018396869.1	super_1828
NW_018396870.1	super_1832
NW_018396871.1	super_1834
NW_018396872.1	super_1837
NW_018396873.1	super_1838
NW_018396874.1	super_1839
NW_018396875.1	super_1841
NW_018396876.1	super_1846
NW_018396877.1	super_1852
NW_018396878.1	super_1857
NW_018396879.1	super_1869
NW_018396880.1	super_1875
NW_018396881.1	super_1877
NW_018396882.1	super_1881
NW_018396883.1	super_1884
NW_018396884.1	super_1903
NW_018396885.1	super_1908
NW_018396886.1	super_1913
NW_018396887.1	super_1918
NW_018396888.1	super_1919
NW_018396889.1	super_1938
NW_018396890.1	super_1951
NW_018396891.1	super_1955
NW_018396892.1	super_1959
NW_018396893.1	super_1967
NW_018396894.1	super_1974
